UNITID,STAT_AL,PRCH_AL,IDX_AL,LCOLELYN,LPBOOKS,LEBOOKS,LPMEDIA,LPCLLCT,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTNFB,LILLDPR,LILLDRC,LSUPPVRS
101505,2,-2,-2,2,135918.0,2158.0,931.0,136849.0,2.0,,1.0,,13195.0,73666.0,0.0,86861.0,0.0,18461.0,18461.0,519068.0,0.0,0.0,1
101514,1,-2,-2,2,47627.0,46359.0,773.0,48400.0,1.0,,1.0,,49647.0,27558.0,0.0,77205.0,1004.0,82381.0,83385.0,559689.0,0.0,69.0,1
101541,4,-2,-2,-1,61403.0,22232.0,7752.0,69155.0,0.0,,2.0,,17519.0,28239.0,260.0,46018.0,58.0,8903.0,8961.0,212643.0,0.0,137.0,-1
101569,2,-2,-2,2,50859.0,27008.0,1914.0,52773.0,1.0,,1.0,,28695.0,17157.0,5100.0,50952.0,0.0,93205.0,93205.0,448010.0,24.0,13.0,2
101587,1,-2,-2,2,165570.0,0.0,3112.0,168682.0,0.0,,2.0,,45084.0,141645.0,2000.0,188729.0,2296.0,36490.0,38786.0,688067.0,301.0,257.0,1
101602,2,-2,-2,2,39862.0,4076.0,2343.0,42205.0,2.0,244948.0,1.0,,21339.0,9679.0,0.0,31018.0,0.0,19540.0,19540.0,295506.0,63.0,38.0,1
101648,1,-2,-2,2,25232.0,0.0,814.0,26046.0,0.0,91143.0,2.0,,4117.0,2828.0,0.0,6945.0,1096.0,1735.0,2831.0,100919.0,0.0,0.0,1
101675,2,-2,-2,2,76096.0,0.0,2204.0,78300.0,0.0,207367.0,1.0,36215.0,21316.0,50966.0,28000.0,100282.0,0.0,21810.0,21810.0,329459.0,0.0,1.0,1
101693,2,-2,-2,2,72042.0,37798.0,1908.0,73950.0,1.0,222347.0,2.0,,76871.0,101103.0,1480.0,179454.0,667.0,36186.0,36853.0,438654.0,173.0,225.0,1
101709,2,-2,-2,2,266236.0,29913.0,4673.0,270909.0,0.0,533996.0,1.0,140762.0,58204.0,186608.0,592.0,245404.0,505.0,44226.0,44731.0,824131.0,182.0,857.0,1
101736,2,-2,-2,2,64231.0,41907.0,1798.0,66029.0,1.0,299631.0,1.0,108706.0,37868.0,7886.0,0.0,45754.0,0.0,27360.0,27360.0,372745.0,130.0,192.0,1
101879,1,-2,-2,2,405406.0,246219.0,14236.0,419642.0,3.0,1077353.0,1.0,297961.0,353789.0,617070.0,4177.0,975036.0,5833.0,160839.0,166672.0,2219061.0,960.0,518.0,1
101897,1,-2,-2,2,63285.0,46889.0,833.0,64118.0,0.0,214525.0,1.0,,55092.0,26549.0,165.0,81806.0,3176.0,36321.0,39497.0,335828.0,33.0,73.0,1
101912,2,-2,-2,2,67718.0,77108.0,8536.0,76254.0,0.0,452717.0,1.0,183191.0,90908.0,90736.0,15500.0,197144.0,2574.0,78000.0,80574.0,730435.0,157.0,77.0,1
101949,2,-2,-2,2,45022.0,0.0,5057.0,50079.0,3.0,,1.0,,21160.0,5756.0,0.0,26916.0,0.0,6413.0,6413.0,296827.0,0.0,0.0,2
101994,1,-2,-2,2,5500.0,0.0,28.0,5528.0,0.0,,1.0,,132.0,8176.0,0.0,8308.0,300.0,602.0,902.0,88686.0,0.0,0.0,1
102030,2,-2,-2,2,70262.0,0.0,8012.0,78274.0,4.0,242000.0,2.0,,21721.0,15228.0,0.0,36949.0,0.0,20954.0,20954.0,299903.0,0.0,0.0,2
102049,2,-2,-2,2,737129.0,68823.0,11812.0,748941.0,3.0,1740880.0,1.0,544479.0,127068.0,1064443.0,23638.0,1215149.0,20062.0,366500.0,386562.0,3342591.0,4942.0,4906.0,1
